keyphrase,lang,topics,tags
MacBook Air MacBook Air 15 inch laptop,en,brand|color|other|size,priority-1|words-4
MacBook Air MacBook Air 15 inch siver,en,brand|color|other|size,priority-1|words-4
MacBook Air MacBook Air 16Gb laptop,en,brand|color|other|size,priority-1|words-4
MacBook Air MacBook Air 16Gb siver,en,brand|color|other|size,priority-1|words-4
MacBook Air MacBook Air laptop,en,brand|color|other,priority-1|words-3
MacBook Air MacBook Air siver,en,brand|color|other,priority-1|words-3
MacBook Air apple 15 inch laptop,en,brand|color|other|size,priority-1|words-4
MacBook Air apple 15 inch siver,en,brand|color|other|size,priority-1|words-4
MacBook Air apple 16Gb laptop,en,brand|color|other|size,priority-1|words-4
MacBook Air apple 16Gb siver,en,brand|color|other|size,priority-1|words-4
MacBook Air apple laptop,en,brand|color|other,priority-1|words-3
MacBook Air apple siver,en,brand|color|other,priority-1|words-3
MacBook Air gray 15 inch laptop,en,brand|color|other|size,priority-1|words-4
MacBook Air gray 15 inch siver,en,brand|color|other|size,priority-1|words-4
MacBook Air gray 16Gb laptop,en,brand|color|other|size,priority-1|words-4
MacBook Air gray 16Gb siver,en,brand|color|other|size,priority-1|words-4
MacBook Air gray laptop,en,brand|color|other,priority-1|words-3
MacBook Air gray siver,en,brand|color|other,priority-1|words-3
